random_id,new_id,data_type,sim_num,mean_rt_control,mean_rt_phon,mean_rt_sem,mean_rt_sem_phon,sd_rt_control,sd_rt_phon,sd_rt_sem,sd_rt_sem_phon,sum_correct_control,sum_correct_phon,sum_correct_sem,sum_correct_sem_phon,n_control,n_phon,n_sem,n_sem_phon
21000,1,real,NA,3711.327333333917,3457.4003333342202,3616.51516666763,3509.9155000007986,683.9443910450586,528.2378450301521,749.3819714174449,626.7463942999939,12,12,12,10,12,12,12,10
24546,2,real,NA,2636.7209166673615,2306.7718333353896,2351.01691666923,2271.4493333325427,368.25410108255255,413.476972819488,368.2925566298415,401.57557208124166,12,10,12,11,12,12,12,12
24665,3,real,NA,2128.557166666976,2291.536833333919,2218.350000000462,2219.1440833339198,459.4980417725068,458.7004632667441,420.5211161832637,383.7963307886063,12,12,12,11,12,12,12,12
51297,4,real,NA,2117.9696667310395,2584.156166748721,2410.454416751021,2712.486333423603,257.2609245278838,751.8703839385705,288.67431894878683,658.800262583342,12,10,12,12,12,12,12,12
55319,5,real,NA,2329.5960833163795,2388.703749977654,2285.046166648351,2259.7478333094914,515.1898707536348,560.2313575780355,543.9587191801766,247.93555248253907,12,12,12,11,12,12,12,12
117012,6,real,NA,1769.29083333341,2175.3065833337387,2131.6099166672757,2054.7458333336326,414.78503940946035,689.4132988003038,524.5821414388203,498.6306565385697,12,11,12,10,12,12,12,12
155425,7,real,NA,2404.5042499945503,2397.1524166449612,2269.03049999231,2324.5470909079486,411.0904366200833,647.4615074814399,388.0026331186887,607.098386863989,12,11,12,10,12,12,12,11
155528,8,real,NA,2187.6166666666645,2012.443333333328,2309.8649999999966,1942.0216666666613,293.1310768343498,600.5771019056059,187.93828215666744,685.9575746466785,12,11,12,12,12,12,12,12
160387,9,real,NA,1819.3236666643613,2065.6114999984347,1835.617166663699,1842.1582499979752,225.86293325408764,461.9582135533135,247.1628175255628,257.2897636647493,12,8,12,12,12,12,12,12
183904,10,real,NA,1908.2942499993176,2064.607499999,2056.347166666408,1925.1287272718566,190.74700855978114,449.80064253962576,464.7095200959362,178.2685844085402,12,11,12,11,12,12,12,11
201116,11,real,NA,2420.5086666667116,2302.575666666693,2067.067500000079,2611.8481666667212,672.5596853982444,473.9749686306278,434.1174394317748,1003.0044521387475,12,10,12,12,12,12,12,12
222503,12,real,NA,2167.551333337354,2048.036416672379,2091.9631666675414,2186.6630000020536,509.6052540954902,280.3640139757836,389.0128963528123,418.78811114560614,12,12,12,12,12,12,12,12
227885,13,real,NA,2228.463333333022,1986.2559999995149,2255.7512499997406,2095.0641666664355,356.2644208179021,608.6581108101748,641.994248429189,676.20411032163,12,12,12,12,12,12,12,12
231542,14,real,NA,2563.696833339514,2586.5186666720547,2785.555666671572,2511.46350000426,284.9341355562572,271.9114099869457,336.92817214146646,405.2512577050643,12,12,12,12,12,12,12,12
243040,15,real,NA,1740.780583380222,1615.3168333825943,1776.2640000399708,1854.388583382078,174.5344810924554,358.55293295416635,242.82715710634326,419.4864971746614,12,11,11,12,12,12,12,12
280270,16,real,NA,2008.6324999682918,1902.7157499500245,1986.6300832980287,2146.0889166426095,245.24950537800007,269.82239115292447,213.43706421941977,355.91897538546243,12,11,12,10,12,12,12,12
294337,17,real,NA,2502.6131818165436,2216.4256666663046,2143.718249999689,2198.5124999997374,671.7183988162653,642.1495793466003,193.16587360357173,425.563663741146,11,12,12,12,11,12,12,12
301421,18,real,NA,2424.7949166655467,2624.883545451562,2377.2678333288386,3125.2145454528622,665.331437733702,696.4778883916617,651.1819723651959,923.9619248371519,12,10,12,10,12,11,12,11
344388,19,real,NA,2129.2727272727307,2588.1666666666715,1988.5,2526.3333333333408,696.3749120853084,971.2144069372164,701.432495294127,794.2562368007931,11,9,11,12,11,12,12,12
350814,20,real,NA,2268.6664166662345,2194.8457499993688,2160.7399090901836,2196.0031666658965,542.02916335196835,773.4443007240798,447.32988981616063,611.2170706351897,12,10,11,11,12,12,11,12
360889,21,real,NA,2146.8333333333344,2324.0000000000023,2084.5,2345.5454545454572,427.99529167616873,612.1942650677347,309.0120621358567,610.4081198077871,12,9,12,10,12,12,12,11
457608,22,real,NA,2585.254166605349,2498.087416553329,2724.724083214763,2430.615818072695,470.02630392812387,408.8822589768557,500.50228904607985,684.4422849279358,12,11,12,11,12,12,12,11
462503,23,real,NA,2209.382749999992,2416.0760000000228,2498.2172500000615,2402.900727272905,325.8388089572756,711.6651762153575,491.3408473860612,571.8469417274509,12,12,12,10,12,12,12,11
479514,24,real,NA,2507.2892500101048,2580.0761000083758,2371.7076666725247,2387.4630000086054,442.03015594727975,485.8730638765442,392.1239894982455,481.43400382772097,12,8,12,11,12,10,12,12
493313,25,real,NA,1986.0833333333442,2403.181818181829,2221.9166666666824,2219.083333333336,304.6397151728822,522.4122544852469,511.78288335676126,600.0494613451534,12,10,12,11,12,11,12,12
519576,26,real,NA,1762.896499999896,1910.6315833331876,1790.6519166666112,1752.9873333333308,511.4860420121283,714.0742334938097,328.86486795270713,825.6007953307092,12,11,12,12,12,12,12,12
541687,27,real,NA,1942.9033333292875,1860.712749998056,1996.9052499960865,1953.2762499990579,391.21016098399366,227.74802258175802,262.0048851896974,409.87536041068273,12,12,12,12,12,12,12,12
550861,28,real,NA,1646.7695834469553,1707.436250051857,1745.8928334193727,1611.7258333432062,214.05847616889304,320.4164853015654,232.52227474926022,150.35384469514568,12,11,12,11,12,12,12,12
598367,29,real,NA,2406.1170833333604,2116.8747500000445,2270.0372727273048,1982.5400833333551,571.309967086087,415.174201181145,329.74559249582643,280.2921147509122,12,12,11,12,12,12,11,12
605991,30,real,NA,1923.1875833288625,2182.3719999783657,1837.557583315079,2338.9265833177246,713.6638868200265,690.1631930311934,296.6078393302142,729.2838291693026,12,10,12,11,12,11,12,12
616008,31,real,NA,2405.2399092917713,2698.281583601953,2838.6067501937264,2676.1950834048234,728.8645210232886,921.0736601949984,913.7121026919604,726.9443281250961,11,12,12,12,11,12,12,12
633438,32,real,NA,1914.8830000000391,2056.140666666715,1954.7920000000559,2085.83083333337,497.5983714135877,324.31787996664417,327.27707993047176,463.64045564460906,12,11,12,12,12,12,12,12
645245,33,real,NA,1703.846833310301,2057.9058333212874,1788.6775833268584,2112.946749985966,284.3042991421937,416.16907211689596,258.2661415139065,619.3256054910343,12,9,11,6,12,12,12,12
645589,34,real,NA,2208.833333333339,2729.8333333333308,2045.4166666666704,2178.4166666666715,250.96933290864524,849.975810707507,243.09312032945982,275.3950743381152,12,11,12,11,12,12,12,12
649419,35,real,NA,1739.4346666847912,1961.2381818310705,1903.1099166728443,1994.2954166637471,455.495953677472,562.4664488532361,453.3661502020298,709.4979218426358,12,9,12,11,12,11,12,12
653394,36,real,NA,2084.5486363665423,2827.7887500177117,2292.305250017096,2774.882636353339,272.34865109826615,888.5529285183095,531.3331867041617,1073.5456016749058,11,9,12,9,11,12,12,11
664373,37,real,NA,2188.1220000272747,2781.9467273064815,2149.0698182260862,2584.492000027215,537.0169634246304,812.0613550059747,347.8614726001843,775.6527748663369,12,9,10,9,12,11,11,11
669424,38,real,NA,1667.7744166661644,1903.8565833329,1779.2045833328884,1949.554583333035,405.6478228658946,522.1745054844113,341.0241474794517,443.18512775814924,12,9,12,10,12,12,12,12
670911,39,real,NA,1954.835583327468,2486.182833315205,1865.5683333124955,2107.7640909034276,470.40016936938173,609.719608237538,357.47022475218677,667.9062591324508,12,7,12,9,12,12,12,11
728051,40,real,NA,2377.0274166654867,2309.5719090915536,2329.130249999949,2306.748666666144,333.7423018436147,484.4169469650992,197.9351798917051,148.18577857284978,12,11,12,12,12,11,12,12
